archive,file,bytes,sha256
8.022.zip,8.022/spring-2026/exam-practice/Practice Exam 1.pdf,294423,4dd6cbf2a33078912732af063de82d8f63a52a9a64db86eb601afd07987bd052
8.022.zip,8.022/spring-2026/exam-practice/Practice Exam 2.pdf,1313638,6435fab0a67ff4600ed82947f4ee44daee92e5cab35189f44539f036b8053f0d
8.022.zip,8.022/spring-2026/exam-practice/Practice Final.pdf,3515206,249efd16e67b5cf163356167fe2055a496213cf689ab36a661766d84aac5fd11
8.022.zip,8.022/spring-2026/exercises/ps1-1.pdf,194199,4c027ba50d737822820c720ee93c9bc498c4b09f63d3add6893940d825236860
8.022.zip,8.022/spring-2026/exercises/ps10.pdf,356840,6e554d22c42d9108eab02d8f90061e2f572ff821caa6eb7b72433e4ac948a5c8
8.022.zip,8.022/spring-2026/exercises/ps11.pdf,1037041,d60912d045cb02b39dbff3b5a5279c288667b7759f41b886bee93b93c33b9c59
8.022.zip,8.022/spring-2026/exercises/ps12.pdf,189672,1575010580fb628b18ec15d833ddcaddefb04aece8734959159bd38fe8aff4d7
8.022.zip,8.022/spring-2026/exercises/ps2.pdf,210766,97a540baca73ab308c0e19efc71198527f3921dc0b67c7f4d69d0a40ce8073ac
8.022.zip,8.022/spring-2026/exercises/ps3.pdf,242763,265cb75bc8891ee7b62651d772e48438def58792110be1e343e426dbf6f7e76b
8.022.zip,8.022/spring-2026/exercises/ps4.pdf,264642,589748a0cb9b342e12bd450f69bd4a16144e4e7789e879d4ac9daf4fceef2255
8.022.zip,8.022/spring-2026/exercises/ps5.pdf,353630,b43f47d1e1ae113d00a15878d330a83e93bf05d3d5df8bbb163808c8a93f41c9
8.022.zip,8.022/spring-2026/exercises/ps6.pdf,479837,1d139744347bedaf3fe49e2e9c2e4dfd1d9b386eb082af0012fbee2ff7942231
8.022.zip,8.022/spring-2026/exercises/ps7.pdf,207724,37610813c8d71d5ef2e30e5b9b3be7d4f06704622ac13dce9b77048c2b36cd1f
8.022.zip,8.022/spring-2026/exercises/ps8.pdf,707624,553cef21fce9f78bd955325b6301a3c595b8b7f308a595de3336d4cd88889420
8.022.zip,8.022/spring-2026/exercises/ps9.pdf,1130870,099f7bb70ab4e6f2f6322cdff22b8ed511f0dcf857b9244d25656f1c8e971e97
